0,183
2,2
4,3
6,5
8,7
10,11
12,11
14,11
16,9
18,10
20,12
22,11
24,13
26,15
28,15
30,14
32,13
34,15
36,17
38,16
40,15
42,16
44,16
46,16
48,18
50,19
52,18
54,18
56,19
58,18
60,18
62,19
64,21
66,22
68,22
70,21
72,22
74,23
76,22
78,22
80,22
82,22
84,22
86,22
88,22
90,22
92,22
94,22
96,22
98,22
100,23
102,23
104,23
106,22
108,23
110,24
112,23
114,24
116,25
118,24
120,24
122,25
124,24
126,28
128,27
130,27
132,28
134,28
136,29
138,29
140,31
142,30
144,31
146,33
148,34
150,34
152,34
154,34
156,35
158,37
160,37
162,38
164,40
166,41
168,41
170,41
172,44
174,45
176,47
178,48
180,49
182,51
184,53
186,56
188,57
190,60
192,63
194,69
196,72
198,84
200,89
202,96
204,101
206,101
208,101
210,101
212,101
214,101
216,101
218,101
220,101
222,101
224,101
226,101
228,101
230,101
232,101
234,101
236,101
238,101
240,101
242,101
244,101
246,101
248,101
